Country,Artist,Song,Language(s),Points,Place
Austria,Teya and Salena,Who the Hell Is Edgar?,English,120,15
Portugal,Mimicat,Ai coração,Portuguese,59,23
Switzerland,Remo Forrer,Watergun,English,92,20
Poland,Blanka,Solo,English,93,19
Serbia,Luke Black,Samo mi se spava (Само ми се спава),"Serbian, English",30,24
France,La Zarra,Évidemment,French,104,16
Cyprus,Andrew Lambrou,Break a Broken Heart,English,126,12
Spain,Blanca Paloma,Eaea,Spanish,100,17
Sweden,Loreen,Tattoo,English,583,1
Albania,Albina and Familja Kelmendi,Duje,Albanian,76,22
Italy,Marco Mengoni,Due vite,Italian,350,4
Estonia,Alika,Bridges,English,168,8
Finland,Käärijä,Cha Cha Cha,Finnish,526,2
Czech Republic,Vesna,My Sister's Crown,"English, Ukrainian, Czech, Bulgarian",129,10
Australia,Voyager,Promise,English,151,9
Belgium,Gustaph,Because of You,English,182,7
Armenia,Brunette,Future Lover,"English, Armenian",122,14
Moldova,Pasha Parfeni,Soarele și Luna,Romanian,96,18
Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",243,6
Norway,Alessandra,Queen of Kings,English,268,5
Germany,Lord of the Lost,Blood & Glitter,English,18,26
Lithuania,Monika Linkytė,Stay,English,127,11
Israel,Noa Kirel,Unicorn,English,362,3
Slovenia,Joker Out,Carpe Diem,Slovene,78,21
Croatia,Let 3,Mama ŠČ!,Croatian,123,13
United Kingdom,Mae Muller,I Wrote a Song,English,24,25
